dataset_name,task_type,best_model,score,train_time_sec
aqi.csv,Regression,RandomForest,0.8862966703110451,27.2806
transactions.csv,Classification,KNN,0.9812479145812479,15.5367
financial_regression.csv,Regression,GradientBoosting,0.5623464438618857,2.1351
weatherAUS.csv,Classification,GradientBoosting,0.8275118383421632,1.8549
real_estate_dataset.csv,Regression,LinearRegression,0.9692362820790128,0.009
insurance.csv,Regression,GradientBoosting,0.8712315310002068,0.1687
kc_house_data.csv,Regression,GradientBoosting,0.7655034636220367,5.8642
Indian_housing_Delhi_data.csv,Regression,KNN,0.6116581834560487,0.0289
flood.csv,Regression,LinearRegression,1.0,0.0267
laptop_data.csv,Regression,Ridge,0.8418153399474975,0.0043
X_test.csv,Regression,KNN,0.631493718868487,0.0719
Loan.csv,Regression,SVR_or_LinearSVR,0.4008288377989494,16.0349
diamonds.csv,Regression,KNN,0.08387976243694395,0.3716
Netflix TV Shows and Movies.csv,Regression,KNN,0.00320201695172162,0.02
diabetes_dataset.csv,Regression,PolynomialRegression,0.9985775643856559,8.9051
game_data_all.csv,Regression,KNN,0.5149259099413791,8.801
pesticides.csv,Regression,RandomForest,0.999204253279212,0.3008
yield_df.csv,Regression,PolynomialRegression,0.9241472434963036,0.28
uber.csv,Classification,LinearSVC,0.6937,0.6368
1028_SWD.csv,Classification,LogisticRegression,0.30952380952380953,0.0531
1029_LEV.csv,Classification,LogisticRegression,0.32432432432432434,0.017
1030_ERA.csv,Classification,LogisticRegression,0.0,0.0961
1191_BNG(pbc).csv,Regression,GradientBoosting,0.39770226299433376,1.4366
1192_BNG(autoHorse).csv,Regression,GradientBoosting,0.7535636598609932,2.4721
1195_BNG(autoPrice).csv,Regression,GradientBoosting,0.6580752531729654,1.6251
1196_BNG(pharynx).csv,Regression,GradientBoosting,0.5071987499650599,2.0421
1199_BNG(echoMonths).csv,Regression,GradientBoosting,0.39374977956372204,0.2874
1200_BNG(stock).csv,Regression,RandomForest,0.7988861877482272,10.2681
1201_BNG(breastTumor).csv,Regression,GradientBoosting,0.14478904317795682,0.4865
1203_BNG(pwLinear).csv,Regression,GradientBoosting,0.63125546177196,0.5257
1206_BNG(satellite_image).csv,Regression,RandomForest,0.8728065023450206,172.9092
1208_BNG(libras_move).csv,Regression,PolynomialRegression,0.4160478262334213,16.5499
1213_BNG(mv).csv,Regression,GradientBoosting,0.8113257051932029,0.3167
1429_a8a.csv,Classification,GradientBoosting,0.7760123013839056,0.0375
1430_a9a.csv,Classification,GradientBoosting,0.7699657472507662,0.0366
1433_svmguide1.csv,Classification,SVC,0.9614271938283511,0.106
1436_german.numer.csv,Classification,RandomForest,0.7466666666666667,0.2142
1572_german.numer.csv,Classification,LogisticRegression,0.6733333333333333,0.017
1575_ijcnn.csv,Classification,GradientBoosting,0.9745930177848876,0.8855
1591_connect-4.csv,Classification,GradientBoosting,0.604302348529702,0.6895
1592_aloi.csv,Regression,RandomForest,0.25722403175091924,9.8293
1593_SensIT-Vehicle-Combined.csv,Classification,GradientBoosting,0.7675236806495264,2.5493
179_adult.csv,Classification,GradientBoosting,0.801342649678038,0.3941
189_kin8nm.csv,Regression,SVR,0.8958519991807442,0.3995
197_cpu_act.csv,Regression,GradientBoosting,0.9585217916405322,0.2515
198_delta_elevators.csv,Regression,PolynomialRegression,0.6359596563344698,0.006
