user_id,dataset_name,dataset_path,target_col
1,transactions,datasets/classification/transactions.csv,is_fraud
1,synthetic,datasets/classification/synthetic.csv,target
skmohammad,e0c7650c52ce4213a963f4549641f9f2_synthetic,storage/skmohammad/datasets/classification/e0c7650c52ce4213a963f4549641f9f2_synthetic.csv,target
skmohammad,8ae77509b7704649ba48d9ae6085afd5_synthetic,storage/skmohammad/datasets/classification/8ae77509b7704649ba48d9ae6085afd5_synthetic.csv,target
skmohammad,f1a96398469b4949a3cbb367f152cf63_synthetic,storage/skmohammad/datasets/classification/f1a96398469b4949a3cbb367f152cf63_synthetic.csv,target
skmohammad,8034aa3fe95e463ea44c49a0994ebae5_synthetic,storage/skmohammad/datasets/classification/8034aa3fe95e463ea44c49a0994ebae5_synthetic.csv,target
mithi2005,968e06455df04780aa39fc31d0e84a24_phisingData,storage/mithi2005/datasets/classification/968e06455df04780aa39fc31d0e84a24_phisingData.csv,Result
mithi2005,d4a0c0fd400c4a68a50f2fb55421bb6f_phisingData,storage/mithi2005/datasets/classification/d4a0c0fd400c4a68a50f2fb55421bb6f_phisingData.csv,Result
mithi2005,8164d85664024246a15d5ec6a67970a5_phisingData,storage/mithi2005/datasets/classification/8164d85664024246a15d5ec6a67970a5_phisingData.csv,Result
mithi2005,1ba8f2b5bbce4849933b74325733ce1e_phisingData,storage/mithi2005/datasets/classification/1ba8f2b5bbce4849933b74325733ce1e_phisingData.csv,Result
mithi2005,99b1eac863c74457a8c699cd3ffeafc8_phisingData,storage/mithi2005/datasets/classification/99b1eac863c74457a8c699cd3ffeafc8_phisingData.csv,Result
mithi2005,937006068c604a3896ac358542e31019_phisingData,storage/mithi2005/datasets/classification/937006068c604a3896ac358542e31019_phisingData.csv,Result
mithi2005,ee2096eb9142470f923609dc4101e536_phisingData,storage/mithi2005/datasets/classification/ee2096eb9142470f923609dc4101e536_phisingData.csv,Result
mithi2005,a221d8b3c4294072826b5c099841b219_Churn_Modelling,storage/mithi2005/datasets/classification/a221d8b3c4294072826b5c099841b219_Churn_Modelling.csv,Exited
mithi2005,55d44f09cdf94334be4e1eb37d710dad_aqi,storage/mithi2005/datasets/classification/55d44f09cdf94334be4e1eb37d710dad_aqi.csv,air_quality_status
mithi2005,69f5feeadd254a758532e36a22bc2ae3_synthetic,storage/mithi2005/datasets/classification/69f5feeadd254a758532e36a22bc2ae3_synthetic.csv,target
mithi2005,8367319164cc42aa8f353a18a63e3c92_synthetic,storage/mithi2005/datasets/classification/8367319164cc42aa8f353a18a63e3c92_synthetic.csv,target
mithi2005,69d4e689058e4f94951f39c4ca839761_weatherAUS,storage/mithi2005/datasets/classification/69d4e689058e4f94951f39c4ca839761_weatherAUS.csv,RainToday
mithi2005,4ff8eb1903d241ffa3ec934b39c978d3_synthetic,storage/mithi2005/datasets/classification/4ff8eb1903d241ffa3ec934b39c978d3_synthetic.csv,target
mithi2005,7e3bed3d25134b419a03dc8a0948e94b_synthetic,storage/mithi2005/datasets/classification/7e3bed3d25134b419a03dc8a0948e94b_synthetic.csv,target
mithi2005,205bfdf615e34b4a81710da266f699eb_weatherAUS,storage/mithi2005/datasets/classification/205bfdf615e34b4a81710da266f699eb_weatherAUS.csv,RainToday
mithi2005,20549086da5d440c9fef9d3f4e326551_weatherAUS,storage/mithi2005/datasets/classification/20549086da5d440c9fef9d3f4e326551_weatherAUS.csv,RainToday
mithi2005,a74e5be309d547dcb19902108581963d_synthetic,storage/mithi2005/datasets/classification/a74e5be309d547dcb19902108581963d_synthetic.csv,target
mithi2005,50a8fd40640c4cb5a1f76b4e375f539f_meta_features_classification,storage/mithi2005/datasets/classification/50a8fd40640c4cb5a1f76b4e375f539f_meta_features_classification.csv,best_model
mithi2005,f2007e2b96334546b9961ff5336453c4_meta_features_classification,storage/mithi2005/datasets/classification/f2007e2b96334546b9961ff5336453c4_meta_features_classification.csv,best_model
mithi2005,ed53ffc4499640e98e5b312571bb3768_meta_features_classification,storage/mithi2005/datasets/classification/ed53ffc4499640e98e5b312571bb3768_meta_features_classification.csv,best_model
